time,temperature,precipitation,length,area,volume
1989,-1.1141667,1265.035,8800.0,8.925775071155153,0.9707710623138892
1990,-1.839167,1253.5315,8700.0,8.860103284179656,0.9582182415573537
1991,-1.4058332,1427.6912,8700.0,8.787077952112519,0.9411129122371823
1992,-1.4808329,1596.7817,8600.0,8.707654227114968,0.9157565710862463
1993,-1.0308335,1537.8982,8500.0,8.631422271568862,0.8939014631927662
1994,-1.5058331,1593.6149,8400.0,8.576309584442185,0.8846575811943881
1995,-2.0641665,1270.9248,8200.0,8.5011010036959,0.863193481867915
1996,-1.2808334,1504.6875,8300.0,8.462794635127386,0.8582512557858354
1997,-0.90583324,1442.6433,8200.0,8.404999231316214,0.8445992577225764
1998,-1.6308333,1840.9318,8000.0,8.345531064940612,0.8322162924480648
1999,-1.3474998,1563.1625,8100.0,8.279742455918683,0.8133550381325808
2000,-1.1391665,1874.1866,8000.0,8.218863267109318,0.8008741697456389
2001,-1.1308333,1457.6823,7900.0,8.152411475857804,0.7841580092910235
2002,-0.59749967,1199.0962,7700.0,8.108282445855526,0.7805699924757619
2003,-1.6891662,1483.4327,7700.0,8.036988514283049,0.7596913747638131
2004,-1.5891666,1238.1034,,,
2005,-1.7224998,1299.925,,,
2006,-0.02249978,1395.407,,,
2007,-1.3808333,1521.4053,,,
2008,-1.1974998,1462.4127,,,
2009,-1.8974999,1433.7137,,,
2010,-1.0141666,1300.2068,,,
2011,-0.83083326,1574.3645,,,
2012,-1.5308332,1602.6803,,,
2013,-0.7141666,1509.5664,,,
2014,-0.27249977,1447.4198,,,
2015,-0.4058331,1619.9103,,,
